,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,TotalBath,TotalPorchSF,percent_grliving,Percent_BsmtF,YrRemMinBui,YrSoldMinRem,isNew,ylogSalePrice
423,60,RL,7.221213632878419,20.54435778346795,Pave,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,11.132026289259763,Gd,TA,PConc,Gd,TA,No,GLQ,13.085709828635814,Unf,1.0,11.189934126006927,GasA,Gd,Y,SBrkr,1.0,16.056686768704523,4,1,Gd,8,Typ,1,TA,Attchd,1998.0,Fin,3.0,12.132253603876475,TA,TA,Y,1.0,1.0,6,2008,WD,Normal,17.552263552784513,3.5,6.859551208605442,0.6414634146341464,0.6707482993197279,0,10,1.0,12.660331092405906
424,20,RL,7.02174235239564,20.458096087785453,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,7.07328940298831,TA,TA,CBlock,Gd,TA,No,LwQ,11.809714792833018,Unf,1.0,11.652825783009021,GasA,Gd,Y,FuseA,1.0,13.636246788021865,2,1,TA,6,Typ,1,Gd,Attchd,1956.0,RFn,1.0,10.002329725380731,TA,TA,Y,1.0,1.0,5,2008,WD,Normal,15.74991461116888,2.0,6.133567292834429,0.5,0.5150501672240803,0,52,1.0,11.842236406331555
425,60,RM,6.684506656824126,16.887509572848284,Pave,Reg,HLS,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1946,1992,Gable,CompShg,HdBoard,HdBoard,None,1.0,TA,Gd,CBlock,TA,TA,No,Unf,1.0,Unf,1.0,11.9549553054922,GasA,Gd,Y,SBrkr,1.0,14.073961170054712,3,1,TA,6,Typ,2,Gd,Detchd,1947.0,Unf,1.0,9.511219710154148,TA,TA,P,1.0,1.0,9,2009,WD,Normal,15.244833593226529,1.5,8.120635667155021,0.6808823529411765,0.0,46,17,0.0,11.813037464800539
426,80,RL,1.0,21.87532392386853,Pave,Reg,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,7,5,1989,1989,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,8.41200462999518,Gd,TA,PConc,Gd,TA,Gd,GLQ,14.338510737780748,Unf,1.0,1.0,GasA,Gd,Y,SBrkr,1.0,14.579071983237592,2,1,Gd,5,Typ,1,TA,Attchd,1989.0,Fin,2.0,11.603239157716956,TA,TA,Y,1.0,1.0,8,2009,WD,Normal,16.665127677409764,3.5,11.147931683722206,0.5199240986717267,1.0,0,20,1.0,12.524530013005734
427,20,RL,7.148460831341732,20.277399504396723,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1957,1957,Hip,CompShg,MetalSd,MetalSd,None,1.0,TA,TA,CBlock,TA,TA,No,Rec,9.930417557876343,Unf,1.0,11.822434677567204,GasA,Ex,Y,SBrkr,1.0,12.852507590465331,3,1,TA,5,Typ,0,No,Detchd,1964.0,Unf,1.0,10.405519221765948,TA,TA,Y,1.0,1.0,7,2008,WD,Normal,14.879946067267607,1.0,1.0,0.5,0.3175303197353914,0,51,1.0,11.599185726610004
428,20,RL,6.80273872401839,19.361535194628317,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,7.808145364123843,Gd,TA,PConc,Gd,TA,No,GLQ,12.00721682473776,Unf,1.0,11.487444346097531,GasA,Ex,Y,SBrkr,1.0,13.665150811025393,2,1,Gd,6,Typ,0,No,Attchd,2007.0,RFn,2.0,11.860282931010302,TA,TA,Y,1.0,1.0,9,2007,New,Partial,15.78199696740658,3.0,8.606710381350862,0.5,0.5496688741721855,0,0,1.0,12.182809136284991
429,20,RL,8.184917181536692,21.42121625221778,Pave,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,1988,1988,Gable,CompShg,HdBoard,HdBoard,None,1.0,TA,TA,CBlock,Gd,TA,Mn,GLQ,13.13942021029482,Unf,1.0,10.63505597602595,GasA,TA,Y,SBrkr,1.0,14.12261660543256,3,1,Gd,6,Typ,1,TA,Attchd,1988.0,Unf,2.0,11.634887347225343,TA,TA,Y,1.0,1.0,3,2009,WD,Normal,16.26636525903383,3.0,8.73710005749876,0.5035663338088445,0.7219827586206896,0,21,1.0,12.07254696717504
430,160,RM,4.932510294066555,14.644922232663887,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,9.434556620289202,TA,TA,CBlock,TA,TA,No,ALQ,10.63505597602595,Unf,1.0,7.574446614595114,GasA,TA,Y,SBrkr,1.0,13.088558507481578,2,1,TA,4,Typ,0,No,Detchd,1971.0,Unf,1.0,9.72889799237455,TA,TA,Y,1.0,1.0,7,2008,COD,Abnorml,14.242388126529248,1.5,1.0,0.6714285714285714,0.8012422360248447,0,37,1.0,11.355113089309977
431,50,RM,6.684506656824126,18.654563718284855,Pave,IR1,Bnk,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,6,7,1920,1998,Gable,CompShg,MetalSd,MetalSd,None,1.0,TA,TA,BrkTil,TA,TA,No,Unf,1.0,Unf,1.0,12.834099819214712,GasA,Gd,Y,SBrkr,1.0,13.641081179098602,4,1,TA,7,Typ,0,No,No,0,No,0.0,1.0,No,No,N,1.0,1.0,9,2008,ConLD,Abnorml,15.334413616221253,1.0,7.615044151314694,0.5707479752262983,0.0,78,10,0.0,11.288543647320601
432,160,RM,5.137710644618417,15.055628032763455,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,10.56488144852786,TA,TA,CBlock,TA,TA,No,ALQ,11.121375089378052,Unf,1.0,9.978566621047088,GasA,Ex,Y,SBrkr,1.0,14.022455144548122,2,1,TA,6,Min1,0,No,Detchd,1971.0,Unf,2.0,10.951171656935063,TA,TA,Y,1.0,1.0,8,2007,WD,Normal,15.380626889331491,2.5,9.831513536945508,0.6408450704225352,0.615686274509804,0,36,1.0,11.715874472198905
433,60,RL,7.65495044352145,21.196866596872194,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,1.0,TA,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,12.910124590543719,GasA,Ex,Y,SBrkr,1.0,14.504452562475894,3,1,TA,7,Typ,1,TA,Attchd,1997.0,Fin,2.0,11.11603509640564,TA,TA,Y,1.0,1.0,7,2008,WD,Normal,15.930787583759244,2.5,5.792129643835174,0.6339920948616601,0.0,1,10,0.0,12.10625783509458
434,180,RM,4.932510294066555,15.006760114075178,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,4,7,1972,1972,Gable,CompShg,CemntBd,CmentBd,None,1.0,TA,Gd,CBlock,Gd,TA,Av,ALQ,11.246736153405903,Unf,1.0,8.26296321751758,GasA,Gd,Y,SBrkr,1.0,11.868631091996152,1,1,TA,3,Typ,0,No,No,0,No,0.0,1.0,No,No,Y,1.0,1.0,6,2008,WD,Normal,13.787651035959893,2.0,7.404586972566442,0.5,0.7857142857142857,0,36,1.0,11.302216779257382
435,60,RL,6.093856518007759,21.13249397488243,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,PosN,Norm,1Fam,2Story,7,6,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Gd,TA,Av,GLQ,10.622423850419848,ALQ,10.35034917822932,6.968980585391403,GasA,Ex,Y,SBrkr,1.0,14.61031898557377,3,1,Gd,6,Typ,1,TA,Attchd,1996.0,RFn,2.0,11.515640585342503,TA,TA,Y,1.0,1.0,4,2009,ConLw,Normal,15.840117810738,3.5,9.305068732469508,0.6752032520325203,0.9123904881101377,0,13,1.0,12.264346270624157
436,50,RM,5.969939052451073,17.79946192516251,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1920,1950,Gable,CompShg,Stucco,Stucco,None,1.0,TA,TA,BrkTil,Fa,TA,No,Unf,1.0,Unf,1.0,11.942769292012862,GasA,TA,Y,FuseA,1.0,13.442126247803923,2,1,TA,6,Typ,0,No,Detchd,1990.0,Unf,2.0,10.951171656935063,TA,TA,Y,1.0,1.0,10,2006,WD,Normal,14.797507501077842,1.0,1.0,0.6330690826727067,0.0,30,56,0.0,11.661354090741
437,45,RM,6.357203202420049,18.9167524253441,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,1.0,Gd,TA,PConc,TA,TA,No,Unf,1.0,Unf,1.0,12.781373330676752,GasA,Gd,Y,SBrkr,1.0,12.84331667166547,2,1,TA,4,Typ,0,No,Detchd,1926.0,Unf,1.0,8.873203454932757,TA,TA,Y,1.0,1.0,1,2009,WD,Normal,14.835525131485651,1.0,7.751853423240825,0.5055928411633109,0.0,78,5,0.0,11.686887175419702
438,30,RL,5.969939052451073,17.7023546709683,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,6,1913,2002,Gable,CompShg,WdShing,Stucco,None,1.0,TA,TA,PConc,TA,TA,No,LwQ,10.492944395952554,Unf,1.0,7.098626104970388,GasA,TA,N,SBrkr,1.0,12.124583303406709,2,1,Gd,4,Typ,1,Gd,Detchd,1990.0,Unf,1.0,10.405519221765948,Gd,TA,P,1.0,1.0,3,2007,WD,Normal,13.482863374096516,1.0,5.697012078927853,0.6119929453262787,0.8295454545454546,89,5,0.0,11.411457364027745
439,50,RL,6.88741871045203,21.729206909677217,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,8,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,1.0,TA,TA,BrkTil,TA,Fa,Mn,Unf,1.0,Unf,1.0,12.085948006884667,GasA,Gd,Y,SBrkr,1.0,13.636246788021865,3,1,Gd,7,Typ,0,No,Detchd,2005.0,Unf,2.0,11.410943347638753,TA,TA,Y,1.0,12.507462835775465,8,2009,ConLI,Normal,14.990324332355753,1.0,6.210789042972047,0.6361702127659574,0.0,80,9,0.0,11.608244735642321
440,20,RL,7.751853423240825,22.658473858528886,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,9.103593650252291,Ex,TA,PConc,Ex,TA,Gd,GLQ,14.799244279840845,ALQ,11.463745203158789,12.46635963238347,GasA,Ex,Y,SBrkr,1.0,15.763315348446238,2,1,Ex,10,Typ,2,Gd,Attchd,2008.0,Fin,3.0,12.038947685692156,TA,TA,Y,1.0,1.0,4,2009,WD,Normal,18.595389371733777,3.0,9.530047046365183,0.4370451237263464,0.7453135100193924,0,1,1.0,13.22672519452875
441,90,RL,7.491069783799412,21.646684145796797,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,4,1955,1955,Gable,CompShg,VinylSd,VinylSd,BrkFace,9.780688591938043,TA,TA,CBlock,TA,TA,No,ALQ,8.232042288205811,Unf,1.0,13.89473192493209,GasA,TA,N,FuseF,1.0,14.180948839543527,4,2,Fa,8,Typ,0,No,No,0,No,0.0,1.0,No,No,Y,1.0,1.0,9,2008,WD,Normal,16.354495224051643,2.0,1.0,0.5,0.09236111111111112,0,53,1.0,11.678448377988165
442,50,RM,6.42678077191518,19.06178179936772,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1930,1992,Gable,CompShg,MetalSd,MetalSd,None,1.0,TA,TA,PConc,TA,TA,No,Unf,1.0,Unf,1.0,13.338074434417361,GasA,TA,Y,SBrkr,1.0,14.445527362468184,3,1,TA,8,Typ,1,Gd,Detchd,1930.0,Unf,2.0,10.459636543250584,TA,TA,P,1.0,1.0,6,2008,WD,Normal,16.082607548966458,2.0,1.0,0.5933609958506224,0.0,62,16,0.0,12.000897933306716
443,120,RL,6.460736201340262,17.398228614031744,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2007,Gable,CompShg,WdShing,Wd Shng,BrkFace,7.02174235239564,Gd,TA,PConc,Ex,TA,Av,Unf,1.0,Unf,1.0,13.78301960596468,GasA,Ex,Y,SBrkr,1.0,13.78301960596468,2,1,Gd,6,Typ,1,Gd,Attchd,2007.0,Fin,3.0,11.942769292012862,TA,TA,Y,1.0,1.0,6,2007,New,Partial,15.912825655264273,2.0,8.620056264664793,0.5,0.0,1,0,0.0,12.058158312538197
444,60,RL,6.968980585391403,20.347947765898184,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,1.0,Gd,Gd,PConc,Gd,TA,No,GLQ,11.918252927785405,Unf,1.0,9.806219318423938,GasA,Ex,Y,SBrkr,1.0,15.036159245398787,4,1,Gd,8,Typ,1,TA,Attchd,1994.0,Unf,2.0,11.236488697904726,TA,TA,Y,1.0,1.0,7,2008,WD,Normal,16.2885862709722,3.5,9.839893205289536,0.6758767268862912,0.7016393442622951,1,13,0.0,12.25486757159303
445,20,RL,7.047663906109832,20.816129945968886,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,None,1.0,TA,TA,CBlock,TA,TA,No,Unf,1.0,Unf,1.0,14.172674972526542,GasA,Fa,Y,SBrkr,1.0,14.66119734059818,3,1,TA,7,Typ,1,Gd,Attchd,1956.0,Unf,2.0,11.169007130464756,TA,TA,Y,1.0,1.0,11,2009,COD,Normal,16.62574667154618,1.0,1.0,0.54048,0.0,0,53,1.0,11.755879486687116
446,20,RL,8.293500021268775,22.942400002841918,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,1.0,Gd,TA,CBlock,TA,TA,No,ALQ,9.576545449247062,Rec,12.196706580510563,11.548208222959307,GasA,Ex,Y,SBrkr,1.0,15.003478877877038,2,1,Gd,6,Mod,1,Gd,Attchd,1966.0,Fin,2.0,11.643869732390646,TA,TA,Y,1.0,1.0,6,2010,WD,Normal,16.914451191755518,2.5,1.0,0.5544787077826725,0.6328279499011207,36,8,0.0,12.154784614286667
447,60,RL,1.0,21.334257719123705,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,12.922126412006202,GasA,Gd,Y,SBrkr,1.0,15.000194687410099,4,1,Gd,10,Typ,1,TA,Attchd,1998.0,Fin,2.0,10.899853860909511,TA,TA,Y,1.0,1.0,7,2006,WD,Normal,16.28041440891886,2.5,7.426512698054021,0.6697443181818182,0.0,1,7,0.0,12.20557752297723
448,50,RM,6.357203202420049,20.280568208615435,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,MetalSd,MetalSd,None,1.0,TA,TA,BrkTil,TA,TA,No,Unf,1.0,Unf,1.0,12.438661292884955,GasA,TA,Y,SBrkr,1.0,14.046156766977901,3,1,TA,7,Typ,1,Gd,Detchd,1937.0,Unf,1.0,9.081454683660327,TA,TA,N,1.0,1.0,6,2006,WD,Normal,15.418947857143579,2.0,1.0,0.6382189239332097,0.0,13,56,0.0,11.691080018519527
449,50,RM,6.357203202420049,18.9167524253441,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,3,7,1948,2002,Gable,CompShg,MetalSd,MetalSd,None,1.0,TA,Gd,CBlock,TA,TA,No,ALQ,10.258333791417995,Unf,1.0,10.163203154449782,GasA,Ex,Y,SBrkr,1.0,13.604654814580307,2,1,TA,6,Typ,0,No,Detchd,1981.0,Unf,1.0,10.087756729969003,TA,TA,Y,1.0,1.0,6,2007,WD,Normal,14.910383230078454,1.5,8.824546029563345,0.6457423580786026,0.5100154083204931,54,5,0.0,11.695255355062795
450,30,RM,6.968980585391403,18.71808355056095,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,None,1.0,TA,TA,BrkTil,TA,TA,No,Unf,1.0,Unf,1.0,12.551404811134226,GasA,Ex,Y,FuseA,1.0,12.551404811134226,2,1,Gd,5,Typ,0,No,Detchd,1932.0,Unf,1.0,9.780688591938043,Fa,Fa,N,1.0,1.0,6,2006,WD,Normal,14.54568630946721,1.0,7.899103929073757,0.5,0.0,75,1,0.0,11.608244735642321
451,20,RL,6.744420430279228,29.92749394886814,Pave,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1975,1975,Gable,WdShngl,Plywood,Plywood,None,1.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,11.971129399749735,Unf,1.0,12.762558328631897,GasA,TA,Y,SBrkr,1.0,14.368019549360682,2,1,Gd,5,Typ,2,TA,Attchd,1975.0,Unf,2.0,11.634887347225343,TA,TA,Y,1.0,1.0,12,2006,WD,Normal,16.562122532152173,3.0,9.64032225948934,0.5,0.4272667971298108,0,31,1.0,12.54254845357358
452,60,RL,1.0,20.588162464402107,Pave,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,6,5,1996,1997,Hip,CompShg,VinylSd,VinylSd,BrkFace,6.0533710494211155,Gd,TA,PConc,Ex,TA,No,ALQ,12.303705150821374,Unf,1.0,8.184917181536692,GasA,Ex,Y,SBrkr,1.0,14.780093607016129,3,1,TA,7,Typ,0,No,Attchd,1996.0,Fin,2.0,10.847619122921865,TA,TA,Y,1.0,1.0,7,2007,WD,Normal,16.05420896084657,3.5,9.746271288139047,0.6681887366818874,0.8509174311926605,1,10,0.0,12.225880174775122
453,60,FV,7.098626104970388,20.458096087785453,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,12.396658166096783,GasA,Ex,Y,SBrkr,1.0,14.4779620743407,3,1,Gd,6,Typ,0,No,Attchd,2008.0,RFn,2.0,12.054693052542088,TA,TA,Y,1.0,1.0,6,2009,WD,Normal,15.703993194968621,2.5,5.492017742920502,0.6743002544529262,0.0,0,1,1.0,12.25486757159303
454,90,RL,6.7737732204907655,20.585622070483,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,5,5,1976,1976,Gable,CompShg,Plywood,Plywood,None,1.0,TA,TA,CBlock,TA,TA,No,ALQ,14.508220869935043,Unf,1.0,8.05460957075334,GasA,TA,Y,SBrkr,1.0,14.730882561077351,4,2,TA,8,Typ,0,No,Detchd,1976.0,Unf,2.0,11.56205956952421,TA,TA,Y,1.0,1.0,7,2006,WD,Family,16.964849395619208,4.0,1.0,0.5,0.9293981481481481,0,30,1.0,12.144202560946876
455,20,RL,7.221213632878419,20.71220477890197,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,10.178050664421775,TA,TA,CBlock,TA,TA,No,ALQ,12.879926320493967,Unf,1.0,10.222126215438918,GasA,Fa,Y,SBrkr,1.0,13.745741320974158,3,1,TA,6,Typ,1,TA,Attchd,1973.0,Unf,2.0,11.410943347638753,TA,TA,Y,1.0,1.0,9,2007,WD,Normal,15.871448750589646,1.5,1.0,0.5,0.7375201288244766,0,34,1.0,12.075400019877522
456,70,RM,5.697012078927853,17.93402191093838,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,1.0,TA,TA,BrkTil,TA,TA,No,Unf,1.0,Unf,1.0,11.843518696025114,GasA,Fa,N,SBrkr,1.0,13.97675247894356,4,1,TA,7,Typ,0,No,Detchd,1916.0,Unf,3.0,11.337416044520737,Fa,Fa,Y,1.0,1.0,5,2008,COD,Abnorml,15.132483878148479,1.0,7.574446614595114,0.6829268292682927,0.0,34,58,0.0,11.49273296168228
457,20,RL,1.0,28.439252873783012,Pave,IR1,Low,AllPub,CulDSac,Mod,ClearCr,Norm,Norm,1Fam,1Story,4,6,1954,1994,Flat,Tar&Grv,Plywood,Plywood,None,1.0,TA,TA,CBlock,Gd,TA,Gd,BLQ,13.436999351261838,Unf,1.0,9.585749373306383,GasA,Ex,Y,SBrkr,1.0,14.61397722077985,2,1,Gd,6,Min1,2,Gd,Attchd,1954.0,Fin,2.0,11.415781884252072,TA,TA,Y,1.0,1.0,3,2008,WD,Normal,16.519492357671634,2.0,10.46632934809144,0.5493888338288735,0.8181818181818182,40,14,0.0,12.45293662970407
458,70,RM,1.0,18.324813315430692,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,7,1925,1996,Hip,CompShg,Stucco,Wd Shng,None,1.0,TA,Gd,PConc,TA,TA,No,Unf,1.0,Unf,1.0,11.68838996487107,GasA,Fa,Y,SBrkr,1.0,14.619457572170285,3,1,Gd,7,Typ,1,Gd,Detchd,1925.0,Unf,1.0,9.39538258223558,TA,TA,Y,1.0,1.0,6,2008,WD,Normal,15.559947353864503,1.0,9.64931139996047,0.7391304347826086,0.0,71,12,0.0,11.989165855127435
459,50,RL,1.0,19.49979608556429,Pave,IR1,Bnk,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1950,1950,Gable,CompShg,MetalSd,MetalSd,BrkCmn,8.633331873373152,TA,TA,CBlock,TA,TA,No,LwQ,8.93275602028482,Unf,1.0,11.391511119178736,GasA,TA,Y,SBrkr,1.0,13.653137235977375,3,1,Gd,5,Typ,1,TA,Detchd,1950.0,Unf,1.0,10.405519221765948,TA,TA,Y,1.0,1.0,7,2009,WD,Normal,15.042660370630959,2.0,9.585749373306383,0.62918410041841,0.2609308885754584,0,59,1.0,11.608244735642321
460,60,FV,7.098626104970388,20.002569246799414,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,RRAn,Norm,1Fam,2Story,8,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,Stone,7.844946025203906,Gd,TA,PConc,Gd,TA,No,GLQ,11.487444346097531,Unf,1.0,9.930417557876343,GasA,Ex,Y,SBrkr,1.0,15.079819169923036,3,1,TA,8,Typ,0,No,BuiltIn,2009.0,Fin,2.0,11.524981344043688,TA,TA,Y,1.0,1.0,12,2009,New,Partial,16.222723067503786,3.5,8.483295642295591,0.6993133357426816,0.6538461538461539,0,0,1.0,12.481565733211923
461,70,RL,6.684506656824126,19.598237927298484,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2Story,7,9,1936,2007,Gable,CompShg,Wd Sdng,Wd Sdng,None,1.0,Gd,Gd,PConc,Gd,Gd,No,ALQ,10.391827134755262,BLQ,9.211557890737238,1.0,GasA,Ex,Y,SBrkr,1.0,13.485393201859338,3,1,Gd,6,Typ,0,No,Detchd,1971.0,RFn,2.0,11.634887347225343,TA,TA,Y,1.0,1.0,4,2009,WD,Normal,14.672006531658715,2.0,9.6582707430638,0.6696165191740413,1.0,71,2,0.0,11.951186847493476
462,20,RL,6.684506656824126,20.133886944685617,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,CompShg,MetalSd,MetalSd,None,1.0,TA,TA,CBlock,TA,TA,No,Rec,11.529640959867622,BLQ,10.110605958809188,1.0,GasA,Gd,Y,SBrkr,1.0,12.718228468762483,3,1,TA,5,Typ,1,Po,Detchd,1965.0,Unf,1.0,10.459636543250584,TA,TA,Y,1.0,1.0,12,2009,WD,Normal,14.730882561077351,1.0,9.473163131119321,0.5,1.0,0,44,1.0,11.04106411122238
463,70,RL,7.07328940298831,21.605910859677135,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,6,7,1934,1995,Hip,CompShg,Stucco,Stucco,None,1.0,TA,TA,CBlock,TA,TA,No,LwQ,10.222126215438918,Unf,1.0,10.647632875415075,GasA,Fa,Y,FuseA,1.0,14.60848846456955,3,1,TA,6,Typ,1,Gd,Detchd,1939.0,Unf,1.0,9.511219710154148,TA,TA,Y,1.0,1.0,8,2008,WD,Normal,15.727023723195723,1.5,1.0,0.6989473684210527,0.45594405594405596,61,13,0.0,12.147919030759663
464,20,RL,6.684506656824126,20.202986389890835,Pave,Reg,HLS,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,5,1978,1978,Gable,CompShg,HdBoard,HdBoard,BrkFace,8.27827898532087,TA,TA,CBlock,Gd,TA,No,Rec,11.809714792833018,Unf,1.0,10.859307915465061,GasA,TA,Y,SBrkr,1.0,13.236142518909933,3,1,TA,5,Typ,0,No,No,0,No,0.0,1.0,No,No,Y,1.0,1.0,8,2009,WD,Normal,15.305801939760288,2.0,1.0,0.5,0.5923076923076923,0,31,1.0,11.728044909070785
465,120,RM,1.0,16.56864007267263,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,4.701972977284463,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,14.044008737526429,GasA,Ex,Y,SBrkr,1.0,14.126815626509213,2,1,Gd,6,Typ,1,TA,Attchd,2004.0,Fin,2.0,10.70355933970797,TA,TA,Y,1.0,1.0,5,2006,WD,Normal,16.24873180068891,2.0,8.672744986667857,0.506991753316601,0.0,0,2,1.0,12.093693109638318
